Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Boost (PSI),Calculated Load (g/rev),Coolant Temp (° F),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (PSI),Ignition Timing (°),Intake Temp (° F),Intake Temp Manifold (° F),MAF Corr. (g/s),MAF Volt. (V),Oil Temp (° F),RPM (RPM),TD Boost Error (PSI),TGV Map Ratio (mult),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.2.0-11341][2016 USDM WRX (MT)][Reflash: 16 WRX Stage1 daniel w 93 rev1.ptm - Realtime: 16 WRX Stage1 daniel w 93 rev1.ptm]
10.408,0,0,22.2,0,-12.4,0.1,196,1,0,0,467.1,17,55,81,8.8,1.44,203,4761,0.89,1,8,0,0
10.422,0,0,22.2,0,-12.41,0.1,196,1,0,0,472.4,17,55,81,8.79,1.44,203,4744,0.91,1,8,0,0
10.442,0,0,22.2,0,-12.29,0.1,196,1,0,0,473.5,17,55,81,8.79,1.44,203,4709,0.84,1,8,0,0
10.459,0,0.78,22.2,0,-12.41,0.1,196,1,0,0,477.8,17,55,81,8.79,1.44,203,4690,0.85,1,8,0,0
10.471,0,0.78,22.2,0,-12.45,0.1,196,1,0,0,483,17,55,81,8.77,1.44,203,4680,0.85,1,8,0,0
10.483,0,0.78,22.2,0,-12.44,0.1,196,1,0,0,488,17,55,81,8.73,1.44,203,4646,0.87,1,8,0,0
10.495,0,1.56,22.2,0,-12.47,0.1,196,1,0,0,488.4,17,55,82,8.69,1.44,203,4627,0.85,1,8,0,0
10.52,0,1.56,22.2,0,-12.4,0.1,196,1,0,0,493.7,17,55,82,8.67,1.44,203,4602,0.76,1,8,0,0
10.532,0,2.34,22.2,0,-12.32,0.1,196,1,0,0,499,17,55,82,8.65,1.4,203,4564,0.76,1,8,0,0
10.55,0,2.34,22.2,0,-12.37,0.1,196,1,0,0,502.9,17,55,81,8.68,1.4,203,4557,0.69,1,8,0,0
10.562,0,2.34,22.2,0,-12.37,0.1,196,1,0,0,504.3,17,55,82,8.62,1.4,203,4538,0.66,1,8,0,0
10.58,0,3.12,22.2,0,-12.39,0.1,196,1,0,0,509.2,17,55,82,8.57,1.38,203,4501,0.64,1,8,0,0
10.592,0,3.12,22.2,0,-12.32,0.1,196,1,0,0,509.6,17,55,82,8.58,1.38,203,4494,0.64,1,8,0,0
10.604,0,3.12,22.2,0,-12.39,0.1,196,1,0,0,514.9,17,55,82,8.54,1.4,204,4462,0.61,1,8,0,0
10.619,0,3.12,22.2,0,-12.4,0.1,196,1,0,0,520.2,17,55,82,8.53,1.4,204,4443,0.59,1,8,0,0
10.634,0,3.12,22.2,0,-12.41,0.1,196,1,0,0,525.5,17,55,82,8.46,1.4,204,4414,0.58,1,8,0,0
10.649,0,3.12,22.2,0,-12.44,0.1,198,1,0,0,525.5,17,55,82,8.38,1.38,204,4381,0.58,1,8,0,0
10.66,0,3.12,22.2,0,-12.53,0.1,198,1,0,0,530.8,17,55,82,8.34,1.38,204,4371,0.63,1,8,0,0
10.683,0,3.12,22.2,0,-12.52,0.1,198,1,0,0,535.8,17,55,82,8.24,1.38,204,4336,0.74,1,8,0,0
10.698,0,3.12,22.2,0,-12.48,0.1,198,1,0,0,536.1,17,55,82,8.23,1.4,204,4328,0.73,1,8,0,0
10.72,0,3.12,22.2,0,-12.34,0.1,198,1,0,0,541.5,17,55,82,8.17,1.4,204,4277,0.6,1,8,0,0
10.732,0,3.12,22.2,0,-12.49,0.1,198,1,0,0,545.3,17,55,82,8.11,1.38,204,4265,0.6,1,8,0,0
10.76,0,3.12,22.2,0,-12.55,0.1,198,1,0,0,546.8,17,55,82,8.06,1.38,204,4232,0.7,1,8,0,0
10.763,0,3.12,22.2,0,-12.38,0.1,198,1,0,0,552.1,17,55,82,8.07,1.36,204,4225,0.77,1,8,0,0
10.777,0,3.12,22.2,0,-12.45,0.1,198,1,0,0,557.3,17,55,82,8.03,1.36,204,4191,0.65,1,8,0,0
10.807,0,3.12,22.2,0,-12.54,0.1,198,1,0,0,562.6,17,55,82,7.98,1.38,204,4161,0.67,1,8,0,0
10.828,0,3.12,22.2,0,-12.33,0.1,198,1,0,0,562.7,17,55,82,8,1.38,204,4130,0.69,1,8,0,0
10.843,0,3.12,22.2,0,-12.52,0.12,198,1,0,0,568,17,55,82,7.98,1.38,204,4117,0.78,1,8,0,0
10.855,0,3.12,22.2,0,-12.47,0.12,198,1,0,0,568,17,55,82,7.9,1.36,204,4083,0.78,1,8,0,0
10.868,0,3.12,22.2,0,-12.48,0.12,198,1,0,0,573.3,17,55,82,7.93,1.36,204,4076,0.74,1,8,0,0
10.88,0,3.12,22.2,0,-12.47,0.12,198,1,0,0,578.3,17,55,82,7.91,1.36,204,4041,0.73,1,8,0,0
10.911,0,3.12,22.2,0,-12.37,0.12,198,1,0,0,578.6,17,55,82,7.9,1.34,204,4015,0.74,1,8,0,0
10.912,0,3.12,22.2,0,-12.5,0.12,198,1,0,0,583.9,17,55,82,7.86,1.34,204,3998,0.8,1,8,0,0
10.926,0,3.12,22.2,0,-12.34,0.12,198,1,0,0,583.9,17,55,82,7.8,1.36,204,3969,0.8,1,8,0,0
10.94,0,3.12,22.2,0,-12.48,0.12,198,1,0,0,589.2,17,55,82,7.79,1.36,204,3954,0.62,1,8,0,0
10.963,0,3.12,22.2,0,-12.35,0.12,198,1,0,0,589.2,17,55,82,7.82,1.36,204,3927,0.68,1,8,0,0
10.974,0,3.12,22.2,0,-12.43,0.12,198,1,0,0,594.5,17,55,82,7.76,1.36,204,3913,0.68,1,7,0,0
10.992,0,3.12,22.2,0,-12.46,0.12,198,1,0,0,594.5,17,55,82,7.75,1.36,204,3900,0.67,1,7,0,0
11.004,0,3.12,22.2,0,-12.26,0.12,198,1,0,0,599.8,17,55,82,7.69,1.36,204,3869,0.59,1,7,0,0
11.016,0,3.12,22.2,0,-12.45,0.12,198,1,0,0,600.9,17,55,82,7.67,1.36,204,3855,0.64,1,7,0,0
11.029,0,3.12,22.2,0,-12.22,0.12,198,1,0,0,605.2,17,55,82,7.61,1.36,204,3825,0.64,1,7,0,0
11.044,0,3.12,22.2,0,-12.39,0.12,198,1,0,0,606.2,17,55,82,7.65,1.32,204,3817,0.39,1,7,0,0
11.056,0,3.12,22.2,0,-12.16,0.12,198,1,0,0,610.5,17,55,82,7.6,1.32,204,3791,0.57,1,7,0,0
11.072,0,3.12,22.2,0,-12.26,0.12,198,1,0,0,615.8,17,55,82,7.58,1.32,204,3772,0.29,1,7,0,0
11.092,0,3.12,22.2,0,-12.36,0.12,198,1,0,0,615.8,17,55,82,7.53,1.34,204,3745,0.29,1,7,0,0
11.109,0,3.12,22.2,0,-12.11,0.12,198,1,0,0,621.1,17,55,82,7.54,1.34,204,3732,0.49,1,7,0,0
11.121,0,3.12,22.2,0,-12.23,0.12,198,1,0,0,621.1,17,55,82,7.52,1.34,204,3707,0.19,1,7,0,0
11.141,0,3.12,22.2,0,-12.35,0.12,198,1,0,0,626.4,17,55,82,7.47,1.32,204,3688,0.41,1,7,0,0
11.153,0,3.12,22.2,0,-12.09,0.12,198,1,0,0,626.4,17,55,82,7.47,1.32,204,3668,0.41,1,7,0,0
11.165,0,3.12,22.2,0,-12.26,0.12,198,1,0,0,631.7,17,55,82,7.4,1.34,204,3648,0.13,1,7,0,0
11.177,0,3.12,22.2,0,-12.31,0.12,198,1,0,0,635.6,17,55,82,7.42,1.34,204,3622,0.33,1,7,0,0
11.201,0,3.12,22.2,0,-12.05,0.12,198,1,0,0,637,17,55,82,7.43,1.34,204,3596,0.15,1,7,0,0
11.224,0,3.12,22.2,0,-12.19,0.12,198,1,0,0,642.3,17,55,82,7.36,1.32,204,3569,0.12,1,7,0,0
11.236,0,3.12,22.2,0,-12.29,0.12,198,1,0,0,642.3,17,55,82,7.36,1.32,204,3556,0.29,1,7,0,0
11.252,0,3.12,22.2,0,-12.05,0.12,198,1,0,0,647.6,17,55,82,7.35,1.32,204,3534,0.06,1,7,0,0
11.272,0,3.12,22.2,0,-12.13,0.12,198,1,0,0,647.6,17,55,82,7.31,1.32,204,3506,0.06,1,7,0,0
11.289,0,3.12,22.2,0,-12.22,0.12,198,1,0,0,652.9,17,55,82,7.28,1.32,204,3489,0.15,1,7,0,0
11.301,0,3.12,22.2,0,-12.18,0.12,198,1,0,0,652.9,17,55,82,7.31,1.32,204,3479,0.21,1,7,0,0
11.313,0,3.12,22.2,0,-11.98,0.12,198,1,0,0,658.2,17,55,82,7.28,1.32,204,3455,0.21,1,7,0,0
11.325,0,3.12,22.2,0,-12.03,0.12,198,1,0,0,658.2,17,55,82,7.26,1.34,204,3438,0.01,1,7,0,0
11.35,0,3.12,22.2,0,-12.12,0.12,198,1,0,0,663.5,17,55,82,7.24,1.34,204,3415,0.07,1,7,0,0
11.361,0,3.12,22.2,0,-12.17,0.12,198,1,0,0,663.5,17,55,82,7.2,1.34,204,3387,0.22,1,7,0,0
11.38,0,3.12,22.2,0,-11.92,0.12,198,1,0,0,668.8,17,55,82,7.18,1.32,204,3373,-0.02,1,7,0,0
11.392,0,3.12,22.2,0,-11.9,0.12,198,1,0,0,668.9,17,55,82,7.18,1.32,204,3351,-0.02,1,7,0,0
11.404,0,3.12,22.2,0,-11.93,0.13,198,1,0,0,674.2,17,55,82,7.11,1.34,204,3330,-0.04,1,7,0,0
